region | m1.tiny  | hour       | 0.048
region | m1.small  | hour       | 0.096
region | m1.medium  | hour       | 0.191
region | c1.small  | hour       | 0.191
region | m1.large  | hour       | 0.382
region | m1.xlarge  | hour       | 0.76
region | c1.large  | hour       | 0.347
region | c1.xlarge  | hour       | 0.594
region | c1.xxlarge  | hour       | 1.040
region | m1.2xlarge  | hour       | 1.040
region | c1.c1r1  | hour       | 0.048
region | c1.c1r2  | hour       | 0.087
region | c1.c1r4  | hour       | 0.134
region | c1.c2r4  | hour       | 0.173
region | c1.c2r8  | hour       | 0.227
region | c1.c4r8  | hour       | 0.347
region | c1.c4r4  | hour       | 0.2184
region | c1.c8r4  | hour       | 0.494
region | c1.c4r16  | hour       | 0.594
region | c1.c8r16  | hour       | 0.693
region | c1.c8r30  | hour       | 1.040
region | ip.floating  | hour       | 0.006
region | volume.size  | gigabyte       | 0.0005
region | storage.objects.size  | gigabyte       | 0.0005
region | image.size  | gigabyte       | 0.0005
